,postcode,X-koordinaatti metrein�,Y-koordinaatti metrein�,Postinumeroalueen pinta-ala,"Asukkaat yhteens�, 2017 (HE)"
569,19480,479719,6820720,26839993,77
570,19510,457356,6810439,25313177,36
571,19540,458298,6822809,199118490,284
572,19600,445988,6832885,255018172,2065
573,19610,451662,6822488,32149000,84
574,19620,446892,6818766,58408598,177
575,19630,443229,6815488,26734792,79
576,19650,460169,6844715,523051070,3313
577,19670,463534,6860071,95705939,150
578,19700,426651,6822714,458497808,2847
579,19730,428649,6829112,4508481,29
580,19740,433478,6834030,116875993,116
581,19770,440673,6823375,37859528,138
582,19850,440095,6844688,98059507,83
583,19910,436479,6853626,135781245,425
584,19920,444999,6854674,67497428,155
585,19950,426826,6848828,173967013,298
586,20100,232953,6708907,13287757,26578
587,20200,237233,6710665,2734663,2204
588,20210,235931,6711793,3442734,4204
589,20240,233420,6711595,7195223,5105
590,20250,237688,6711846,1432154,761
591,20300,239693,6712779,3779259,6851
592,20320,238104,6714804,11705725,16854
593,20360,240873,6716281,13077896,10975
594,20380,243823,6715793,20710406,2852
595,20400,242549,6720785,10882954,3446
596,20460,245962,6720836,19370787,3517
597,20500,240635,6711263,964240,6609
598,20520,241827,6710363,2025010,3631
599,20540,243786,6711931,12288692,20801
600,20610,244084,6710061,3519286,13345
601,20660,248322,6710247,20652796,7324
602,20700,240272,6710154,1134793,5855
603,20720,241374,6709243,2671860,6229
604,20730,242692,6708087,797720,86
605,20740,241091,6707346,5592458,9489
606,20750,243936,6708523,3856823,5031
607,20760,242185,6705355,10382152,4408
608,20780,246212,6706345,16333262,11978
609,20800,239585,6710401,79141,0
610,20810,239018,6709069,4532021,16881
611,20880,239413,6707623,1903972,4030
612,20900,236196,6706214,24435593,9869
613,20960,236886,6700947,33794887,1401
614,21100,224717,6712004,39728271,6927
615,21110,228326,6716639,11546591,7646
616,21120,230588,6713748,7132258,1944
617,21130,218637,6708579,29863577,567
618,21140,220325,6704303,49114037,1287
619,21150,219942,6695222,69143015,301
620,21160,217713,6713379,47681707,1714
621,21180,211937,6720671,27498445,224
622,21195,204191,6711668,26610792,229
623,21200,234020,6716410,21924994,12059
624,21210,230626,6716213,4453714,2521
625,21220,231949,6718462,7108900,1363
626,21230,223963,6725497,43734387,1845
627,21240,217785,6723581,38312993,878
628,21250,230623,6722677,83247900,6647
629,21260,234702,6713264,3651856,3582
630,21270,236627,6734542,216868469,4803
631,21280,236367,6714994,3276335,2253
632,21290,238376,6721987,55513791,4327
633,21310,243741,6730466,59319100,1792
634,21330,247557,6727540,41934900,1855
635,21340,249418,6736722,46807250,507
636,21350,247740,6716958,12433036,2011
637,21360,251485,6724569,50562718,1828
638,21370,256440,6727107,31836435,565
639,21380,258110,6732143,72230599,3411
640,21410,246875,6713941,6491775,2462
641,21420,252493,6716203,64751675,7849
642,21430,258640,6720450,48696089,829
643,21450,266090,6724107,99223123,1822
644,21480,272638,6720021,39197729,353
645,21490,276269,6723508,59285768,1106
646,21500,254175,6707515,84189986,7284
647,21510,260799,6703915,39208613,477
648,21520,262521,6707253,201944,5
649,21530,260198,6712640,131267893,8502
650,21540,268214,6710526,31927055,1298
651,21555,269182,6714906,28553004,332
652,21560,279203,6728884,88116760,490
653,21570,263525,6694408,185136347,2551
654,21590,256804,6687558,66285632,434
655,21600,234836,6694308,183486856,10622
656,21610,245047,6698640,28148260,1071
657,21620,246148,6703243,20702657,2090
658,21630,244967,6690636,57682203,575
659,21650,224058,6682183,81507888,428
660,21660,213048,6684051,89340712,764
661,21670,209730,6679712,38758873,200
662,21680,207654,6658239,13304194,10
663,21710,200168,6680071,102773308,648
664,21720,199775,6676485,2054867,22
665,21740,197539,6644377,3654170,44
666,21750,200794,6690929,38366527,89
667,21760,188124,6687601,89307785,380
668,21770,191378,6695522,18272160,122
669,21800,268580,6736347,107165025,2433
670,21820,271345,6742029,53997354,354
671,21840,265874,6732008,22493531,369
672,21860,257554,6735830,24663839,405
673,21870,257628,6741007,71688050,1917
674,21880,261613,6745250,45771809,394
675,21890,264193,6749467,42725720,265
676,21900,248103,6757834,257395710,1515
