,Talotyyppi,m2,Vh,em2,Rv,Krs,Hissi,Kunto,Tontti,postcode,X,Y,PA,Asukkaat,vaestontiheys
138,kt,7850,735000,9363,1898,1/6,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
139,kt,5410,485000,8965,1929,4/7,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
140,kt,6150,515000,8374,1912,4/4,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
141,kt,6550,475000,7252,2000,6/9,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
142,kt,6700,535000,7985,1920,2/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
143,kt,6300,474000,7524,1909,4/4,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
144,kt,6640,410000,6175,1927,2/3,on,huono,oma,120,385614,6671378,414010,7108,0.017168667423492188
145,kt,7130,585000,8205,1883,1/4,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
146,kt,4150,361000,8699,1962,3/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
147,kt,6100,350448,5745,1927,1/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
148,kt,3250,329000,10123,1936,5/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
149,kt,4500,318000,7067,1961,2/7,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
150,kt,4300,376000,8744,1936,2/4,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
151,kt,4320,366000,8472,1912,1/4,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
152,kt,7000,569000,8129,1892,3/4,ei,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
153,kt,6550,484000,7389,2000,4/9,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
154,kt,6250,475000,7600,1937,3/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
155,kt,7900,700000,8861,1892,2/4,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
156,kt,3900,308000,7897,1963,4/4,ei,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
157,kt,7800,628000,8051,1907,3/4,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
158,kt,3800,350000,9211,1963,6/6,on,huono,oma,120,385614,6671378,414010,7108,0.017168667423492188
159,kt,7140,580000,8123,1936,4/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
160,kt,7400,570000,7703,1912,5/5,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
161,kt,7850,651522,8300,1982,-1/6,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
162,kt,8000,642000,8025,1928,5/8,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
163,kt,14400,970000,6736,1891,4/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
164,kt,8400,520000,6190,1904,3/4,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
