"Postinumeroalue";"X-koordinaatti metrein�";"Y-koordinaatti metrein�";"Postinumeroalueen pinta-ala";"Asukkaat yhteens�, 2017 (HE)"
"10520 Tenhola Kirkonkyl�   (Raasepori )";290624;6664764;194692870;1713
"10570 Bromarv   (Raasepori )";275404;6655053;123357540;466
"10600 Tammisaari Keskus   (Raasepori )";308711;6653973;272125658;4885
"10620 Tammisaari   (Raasepori )";299403;6657529;26766501;1872
"10640 Dragsvik   (Raasepori )";305140;6655789;5479316;932
"10650 Flyet   (Raasepori )";302841;6654161;3255644;2691
"10660 Trollb�le   (Raasepori )";297040;6653039;23461787;851
"10680 Skogby   (Raasepori )";292488;6650114;21853116;206
"10710 Snappertuna   (Raasepori )";316552;6655469;54044316;361
"10820 Lappohja   (Hanko )";288401;6646556;32189888;548
"10900 Hanko Keskus   (Hanko )";282777;6641612;79454326;4054
"10940 Hangonkyl�   (Hanko )";272458;6639874;2842308;2030
"10960 Hanko Pohjoinen   (Hanko )";275763;6640090;6390308;1791
"11100 Riihim�ki Keskus   (Riihim�ki )";378118;6735179;3021236;6610
"11120 Pohjois-Riihim�ki   (Riihim�ki )";379291;6739519;31553956;6972
